"model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"Phi(~Release_location + Array + Release_DOY)p(~Tag_type + Array * Release_DOY)",10,9017.49107073802,0,0.999997924895485,8997.49107073802,0
"Phi(~Release_location + Array + Length)p(~Tag_type + Array * Release_DOY)",10,9043.66316868946,26.1720979514357,2.0739593444659e-06,9023.66316868946,0
"Phi(~Release_location + Array + Release_DOY)p(~Tag_type + Array + Release_DOY)",9,9058.66653535087,41.1754646128429,1.14514521628969e-09,9040.66653535087,0
"Phi(~Release_location + Array + Length)p(~Tag_type + Array + Release_DOY)",9,9080.1207331784,62.6296624403803,2.51270033773863e-14,9062.1207331784,0
"Phi(~Release_location + Array + Length)p(~Tag_type + Array + Length)",9,9088.90857691927,71.4175061812439,3.1037353017173e-16,9070.90857691927,0
"Phi(~Release_location + Array)p(~Tag_type + Array * Release_DOY)",9,9115.13688665929,97.6458159212671,6.25863437358335e-22,9097.13688665929,0
"Phi(~Release_location + Array + Ten_day_mean)p(~Tag_type + Array * Release_DOY)",10,9116.43714269145,98.9460719534236,3.26687540367303e-22,9096.43714269145,0
"Phi(~Release_location + Array + Hatchery_status)p(~Tag_type + Array * Release_DOY)",10,9117.03440361153,99.5433328735089,2.42347760140057e-22,9097.03440361153,0
"Phi(~Release_location + Array + Release_DOY)p(~Tag_type + Array + Length)",9,9119.45231476025,101.961244022226,7.23429601492206e-23,9101.45231476025,0
"Phi(~Release_location + Array + Length)p(~Tag_type + Array)",8,9136.70354335866,119.212472620638,1.29819395403973e-26,9120.70354335866,0
"Phi(~Release_location + Array + Release_DOY)p(~Tag_type + Array)",8,9141.92148434809,124.430413610064,9.55604294697019e-28,9125.92148434809,0
"Phi(~Release_location + Array)p(~Tag_type + Array + Release_DOY)",8,9145.63210961194,128.141038873919,1.49460370549647e-28,9129.63210961194,0
"Phi(~Release_location + Array + Ten_day_mean)p(~Tag_type + Array + Release_DOY)",9,9147.03684146124,129.54577072322,7.4044432566853e-29,9129.03684146124,0
"Phi(~Release_location + Array + Hatchery_status)p(~Tag_type + Array + Release_DOY)",9,9147.50937404382,130.0183033058,5.8463291515268e-29,9129.50937404382,0
"Phi(~Release_location + Array)p(~Tag_type + Array + Length)",8,9156.24373063382,138.752659895794,7.41723139218414e-31,9140.24373063382,0
"Phi(~Release_location + Array + Ten_day_mean)p(~Tag_type + Array + Length)",9,9156.49651657079,139.005445832767,6.53657214574607e-31,9138.49651657079,0
"Phi(~Release_location + Array + Hatchery_status)p(~Tag_type + Array + Length)",9,9157.85046116296,140.359390424934,3.32158007275999e-31,9139.85046116296,0
"Phi(~Release_location + Array + Ten_day_mean)p(~Tag_type + Array)",8,9160.25280354539,142.761732807367,9.99269670845719e-32,9144.25280354539,0
"Phi(~Release_location + Array)p(~Tag_type + Array)",7,9161.15754393086,143.666473192839,6.35654063643993e-32,9147.15754393086,0
"Phi(~Release_location + Array + Hatchery_status)p(~Tag_type + Array)",8,9162.62278277042,145.131712032393,3.05526057781434e-32,9146.62278277042,0
"Phi(~Release_location + Array + Release_DOY)p(~1)",6,9492.28820276703,474.797132029007,7.92705491777645e-104,9480.28820276703,0
"Phi(~Release_location + Array + Length)p(~1)",6,9503.37687189667,485.885801158645,3.09911690929608e-106,9491.37687189667,0
"Phi(~Release_location + Array + Ten_day_mean)p(~1)",6,9612.9110038599,595.419933121877,5.08397508771664e-130,9600.9110038599,0
"Phi(~Release_location + Array + Hatchery_status)p(~1)",6,9626.93541820361,609.444347465589,4.57973694234273e-133,9614.93541820361,0
"Phi(~Release_location + Array)p(~1)",5,9627.08010443213,609.589033694105,4.2601247591975e-133,9617.08010443213,0
"Phi(~1)p(~Tag_type + Array * Release_DOY)",6,9841.84660009233,824.355529354309,9.85077356548431e-180,9829.84660009233,0
"Phi(~1)p(~Tag_type + Array + Release_DOY)",5,9860.35978894976,842.868718211737,9.40551227774192e-184,9850.35978894976,0
"Phi(~1)p(~Tag_type + Array + Length)",5,9870.6125015039,853.121430765881,5.58514189612274e-186,9860.6125015039,0
"Phi(~1)p(~Tag_type + Array)",4,9872.03520005207,854.544129314045,2.74220012839811e-186,9864.03520005207,0
"Phi(~1)p(~1)",2,11244.1818810484,2226.69081031042,0,11240.1818810484,0
