"Release_location","Array","Detections","Total_deployed","Percent_detected"
"Palmer Ponds Outlet","Porter Side Channel",11,5949,0.18
"Palmer Ponds Outlet","Lower Russel Backwater",2,5949,0.03
"Palmer Ponds Outlet","Lower Green Barge 1",55,5949,0.92
"Palmer Ponds Outlet","Lower Green Barge 2",46,5949,0.77
"Palmer Ponds Outlet","Duwamish People's Park",5,5949,0.08
"Tukwila Pedestrian Bridge","Lower Green Barge 1",488,3015,16.19
"Tukwila Pedestrian Bridge","Lower Green Barge 2",434,3015,14.39
"Tukwila Pedestrian Bridge","Duwamish People's Park",22,3015,0.73
"WDFW Screw Trap","Porter Side Channel",43,5957,0.72
"WDFW Screw Trap","Lower Russel Backwater",7,5957,0.12
"WDFW Screw Trap","Lower Green Barge 1",179,5957,3
"WDFW Screw Trap","Lower Green Barge 2",195,5957,3.27
"WDFW Screw Trap","Duwamish People's Park",14,5957,0.24
